rate,comment
0,前幾日去家樂福，要出去停車場時，動線設計相當不流暢，開車出入危險，照明也昏暗，尤其接近中午時段，去過其他間家樂福，停車場空間來的，安全許多🙄🙄
1,接手台糖量販店之後，無論是在商品齊備程度、提供的服務與設施、配合進駐廠商的完全性都遠勝從前台糖時期。量販店占地廣闊，商品價格吸引人的優點，在這裡完全都找得到。不管是家庭日常採購或是不買東西單純逛逛感受商場氣氛，這裡都相當適合。 唯一可惜的是隨著時代進步，很多以前常買的小商家都被替換掉了。喚不回的總是那些美好的兒時記憶。 希望家樂福新楠店能陪伴在地人繼續走過下一個五十年，創造更多新的回憶。也祝福新楠店生意長紅，財源廣進。
1,1.這間家樂福離家裡很近，隨時要補貨都超方便的  2.之前假日都會有一個大型機器人🤖️出現表演，但至從今年暑假七八到現在都沒看到👀，女兒👧🏻很想念這個機器人  3.有時候不知道帶小孩去哪裡放電的時候，家樂福就是最棒的地方🤣🤣🤣
0,使用外送平台點了一包鴻禧菇，結果送來這種快要壞掉發臭的菇，根本就不能吃，東西壞了能不能就別拿出來賣了，客人看不到實體商品就能這樣亂搞嗎？想請問貴店的品質何在？
1,是我目前逛過全高雄市最好的家樂福、開車🚗好停車還不用收費、顧客水準品質普遍比較高、大多為小家庭、逛起來不會有任何的負擔。主要貨櫃商品多元齊全、在其他家樂福可能沒有看到的東西，這裡都會提供，如果開車或是騎機車有經過一定要來看看走走。 希望未來可以開24時方便民眾  推薦大家～買東西就是在《家樂福》👍
1,A先生開車來新楠家樂福，逛了2小時沒有買東西，然後去一樓剪個100元頭髮，拿了張4小時停車抵用券，回家了。  B先生開車來新楠家樂福，直接去三皇三家吃飯，吃了一個多小時，花費460元，三皇三家說要憑發票折抵停車費，發票折抵一小時停車費，另外自己付了30元停車費。  所以A先生在新楠家樂福三小時花費100元剪髮，免付停車費用。 而B先生在新楠家樂福吃飯花費460元，卻要付30元停車費。  這賣場真是腦洞大又人性化啊，不得不給賣場一個5星好評。
1,當地區域非常便利繁華的購物中心，但賣場週遭設施頗為老舊簡陋，內部格局尚可跟楠梓另一家家樂福比起來規模稍小些，但沒太大影響居民採購的便利性，造福當地居民。
0,協助處理收銀員的服務員，態度真的很糟，請在教育！收銀員的刷卡機有問題，協助處理後，顧客傻等刷卡單。那態度真的沒有必要這麼高傲！收銀員也有問題吧！沒有明確告知顧客在等刷卡單，該人員處理完，我詢問那我的刷卡單呢！？好像我在找麻煩一下，等了至少有五分鐘。一句謝謝不好意思都沒，連一個微笑的感覺都沒有！只好下次盡量不再去新楠店光顧。
0,帶一家人來逛新開的家樂福，以前是台糖量販改建的，有著我滿滿的回憶，所以特別帶兒子來逛，也有點世代傳承的感覺。但可惜的是動線很亂，家樂福相關產品也沒放一起，而是依照分類放，這樣如果要特別買家樂福品牌的東西還要東找西找，前面說的動線亂到有點會迷路的感覺，沒有一個主題性，人潮多的話就常常會變成東擠一塊西擠一塊。塞車的感覺，美食街有增加一些不同的，但舊美食街那邊的店家還是都差不多，沒有什麼煥然一新的感覺，總之普普通通拉，期待以後改進可以更棒，不過還有一個優點是以前的遊樂場竟變成湯姆熊～很棒！
0,路線安排亂七八糟 商場設備也過於老舊 許多方面需要加強 但這些也不完全是後來接手的家樂福的鍋 只是要把它們全部完善 也需要總公司願意給予經費大整
0,建於1937年的松山菸廠，在2001年成爲市定古蹟歷經10年轉型爲文創園區，有景觀生態池、餐廳、咖啡廳與各式各樣的商品，可惜現在藝文展覽幾乎沒了…
1,"園區很大, 主要有3棟建築物, 有製菸工廠、倉庫區、誠品生活松菸店, 許多文創店家，滿滿的文青風，時間有限下次再來👍"
1,很棒的展覽與快走運動空間。交錯著古色古香與現代化建築，文創商店與更換的展覽也很棒！廁所乾淨，園區內還有全家超商
1,松山文創園區，前身為松山菸廠保留了許多原始建築的歷史特色，同時也結合了現代設計元素。這裡有著各種不同風格的建築，從日式據點到現代化的展覽空間，每一處都充滿了靈感和創造力。  遊客在松山文創園區可以欣賞到各種藝術展覽、設計市集、手工藝工作坊和文化活動。無論您是對藝術、設計、手作藝術還是文化歷史感興趣，這個園區都能滿足您的需求。此外，這裡還有眾多咖啡廳和小吃攤位，提供美食和飲料。  松山文創園區是台北市一個獨特的旅遊目的地，吸引了來自世界各地的遊客和藝術愛好者。它展示了台灣文化和創意的多樣性，同時也是一個讓人放鬆身心，享受藝術和設計的理想場所。無論您是當地居民還是遊客，都應該來松山文創園區一探究竟，體驗這個獨特的文化寶藏。
1,松菸文創常常有不同的展覽，整個場地也是歷史古蹟，到處可見的骨董消防栓，工廠內的空間非常寬大舒適，建築風格屬於日本出現代主義的作品，簡潔典雅，尤其從窗框看向中央庭院時，每個窗景都是一幅圖，裡面廁所也十分乾淨! 中央庭院優美綠意盎然，讓人有置身外國之優閑感覺，更有許多文青小店置身其中，更有許多特色咖啡和茶店可以逛累時休息的好去處，外面的生態池，也有許多植物以及休憩的椅子可以讓大人小孩都流連忘返，一逛再逛！
1,第一次來就覺得非常放鬆 活動也非常多樣 時候假日休閒裝文青的好地方🤣 旁邊的誠品大樓非常大 地下室也會有少許的得獎文青電影可以看 夏天太陽大 記得要多擦防曬 可以上官網查看近期活動👍
1,"松山文創園區，整個園區範圍很大, 主要是古蹟松山菸廠，主題有3棟建築物, 緊鄰大巨蛋，大樹綠地很多，鬧中取靜，分別為製菸工廠、倉庫區、誠品生活松菸店, 在大台北地區也常常有展場、活動地點，是假日散步或是平常走走的好地方～～"
1,台灣具有歷史地位飯店之一，裡面充滿了年代感。圓山飯店唯一路口的號誌燈，有時後紅綠燈管控；有時又是閃爍著紅燈，真的非常危險，建議一整天開啟紅綠燈管控
0,地理位置100，房間舒適100 飯店故事性100，密道導覽100 服務（尤其是餐飲）20分  「當五星級飯店，成為了觀光景點」  住房一晚，宮殿等級的建築、絕佳地理位置的美景、密道導覽解說的用心，歷史文化薰陶非常享受。  可惜，服務人員素質跟不上五星級服務的標準  大廳都充滿了觀光客，人聲鼎沸 下午茶客滿，咖啡廳客滿、酒吧客滿 問服務人員飯店哪裡還有房客可以坐下來聚餐聊天的地方，也只收到了雙手一攤：“我們也沒辦法喔“，的回應，只能選擇往士林移動去覓食。  對於是房客的身份來說，並沒有任何使用飯店給予服務的優先性，停車位也是自行尋找、有空位就停（就算停好了要走山坡幾百公尺回到飯店，也是自行處理）。  不過如果飯店本身定位自己是“觀光景點“，那我們只能接受，要來住宿就先有這樣的心理準備就是了。  到了早餐時刻，七點半，用餐人不多，一家人6位，兩位超過65歲的長輩、兩位低於10歲的小孩，飯店把我們帶到離用餐區很偏遠的一個小房間，我們詢問：長輩小孩自己拿餐不方便，主要用餐區沒有位置嗎？得到一個不耐煩的眼神，大聲問了用餐區的服務人員：還有六人座位嗎？有，帶過去發現到處都是空位。身為男主人的我大傻眼，問服務人員為何要這樣處理？得到的回應是：我。以為。還沒。收好。桌子（一字都沒有誤差），也沒有任何的不好意思，不會覺得這樣安排不合理，就遠離我們而去，真的是傻眼。  或許寫這麼多，只是狗吠火車，我們本身是台北人，圓山飯店對於台灣歷史有重要的地位，特地帶長輩來親身體會一次，住在宮殿等級的建築過夜是什麼感受，或許這輩子就一次，但應該也只會來一次，畢竟與房客相比，作為景點觀光客得到的待遇也沒有什麼落差，這樣想就簡單許多了。  感謝圓山大飯店的“歷史”給我們美好的回憶，同樣的，這種等級的服務也會一直深留在每一個住客的心中。
0,1、房間舒適大間，地板清潔真的值得稱讚👍。陽台方向無法看到外面完全面貌但畢竟不是睡陽台，風景只是附加的。雙床房，床墊偏軟而且搖晃明顯。 2、櫃檯人員說明訂房細項流暢度不佳，連我有加床也不清楚，剛好有櫃台領班經過才補充說明 3、提供免費接駁車前往圓山捷運站，班次密集度高很便於旅客前往其他點。 4、聯誼會泳池是我選擇圓山的原因之一，泳池長且夠深，使用後硬體設備真的很棒。 但有這個突發情況：孩子在長泳水道練習游泳，因游仰式沒有注意游偏了，旁邊的救生員趕緊吹哨提醒，過程中也有干擾到旁邊水道的泳客，這部分我們深感抱歉，當下立即跟泳客道歉；後面作為父母的是想趕快讓孩子離開長泳水道以及訓斥自己造成別人困擾的問題，但在救生員辦公室的可能是主管吧，出來直接對著孩子吼不准再使用那幾個水道，板著兇狠的表情我在身邊都感覺到恐怖，這個事件讓我檢討了原來泳池長泳水道不是人人都能去（本來以為只要可以順暢來回游的即可） 飯店人員應對給予的難堪讓我心生佩服，在去的前一天還很認真跟孩子介紹圓山是如何重要的飯店，身為台灣人我們應該去看看。
1,超棒的住宿體驗，住的是天際房型、房間大、床大軟硬適中、洗澡跟洗頭是義大利品牌，香味優雅宜人、風景超優的，雖然下雨，朦朧之中還是有看到101大樓，附有晚餐及早餐（項目種類繁多，每一樣都很好吃）不負國際五星大飯店的美名，下午還參加了東密道及孔二小姐故居參訪，有專業導覽解說，講的非常仔細，真是不虛此行，感覺自己的文化都提升了起來！也對圓山大飯店及孔二小姐有更多的認識，大推此套裝行程，當然建議還是平日去品質會較優！
0,"評論的優點很多，住房的景觀與房間的設施這些我就不多評論，我就直接說去住時遇到的一些問題好了。 我訂的是【文化體驗】御膳冠軍東密道 住房專案想去體驗一晚。記得當天去check in時下了午後雷陣雨，我與朋友沒有帶傘所以到櫃檯時淋的全身濕透。如果這時櫃檯看我們淋得全身濕透能""主動""遞給我們紙巾或乾毛巾我們的體驗會更好一一但很可惜並沒有。 最後是我們詢問能否給我們紙巾才遞給我們。是我的要求太高嗎？但我覺得五星級飯店不應該是這種""被動""的服務態度才對。 等到晚餐時間我們要用餐時，在進餐廳時說要餐券才能入場。於是我們又去詢問櫃檯，結果本應在入住時就要附給我們餐券但在check in時忘記給我們了，重點是我們辦理入住時櫃檯也沒有什麼客人，應該不至於忙碌到忘記吧？ 最後是晚餐的部分，這個專案晚餐是一個set的，共9道菜(含甜點水果，主打都是國宴出過的菜品)，大部分都很好吃。但是裡面有一道""年年有餘""，我不知道是處理方式不對還是食材不新鮮，入口腥味超重到無法下嚥。他是炸鱸魚然後佐橙汁醬，雖然說沾著橙汁醬可以勉強入口，但是等吞下去時那個腥味會殘留在口中味道真的是一言難盡。最後餐廳經理有出面說要補償我們一盤小籠包，至少有做了點補償措施，但整個晚餐就因為那道菜毀了真的是很可惜。  結論:我是認為員工的教育訓練要再加強不然實在對不起五星級飯店的評價。"
1,非常具的特色的建築，見證了台灣歷史的發展與變革，初次來到圓山飯滿是驚喜，鄉下人見識面了。
1,寶寶一歲抓週！超適合在圓山飯店舉行，場佈、主持、道具、餐點都準備好！ 從一開始的接洽一對一窗口就很安心，所有細節討論都很順利，加人頭的安排也很臨時，感謝協助！ 抓週當天，場地包廂好大，剛好邊間所以採光好美，陽台外的欄杆也超乾淨！大家可以隨意自由進出。 餐點好好吃🤤每一道都不雷，然後果汁補好補滿！ 到了抓週環節，主持人很熱情，孩子也很配合，整個順利到不行🥹  開心的結束後，參與西密道行程，不知道有飯店歷史導覽，喜愛歷史的人會很有興趣，整個導覽快45分鐘，之後進入西密道，因為要原路走回，如果行動不變的人可以考慮一下這個行程。加上因為剛好週末，人超多@-@密道內會較擠。推平日來體驗  最後買了第一名的珍奶🧋一杯200買來嚐鮮，杯子的設計有點小失望，是用貼紙代替印刷的logo，珍珠有點過甜（個人沒有很愛啦）份量也是小小杯，覺得螞蟻人會愛！  以上推一個抓週服務
